"Sex","Yr","date","yday","Site","Mass"
1,1993,1993-04-20,110,"Ijsselmeer_kust",240
1,1993,1993-04-20,110,"Ijsselmeer_kust",210
1,1993,1993-05-01,121,"Friese_kust",204
1,1993,1993-05-01,121,"Friese_kust",226
2,1993,1993-05-01,121,"Friese_kust",230
2,1993,1993-05-01,121,"Friese_kust",224
2,1993,1993-05-01,121,"Friese_kust",265
2,1993,1993-05-01,121,"Friese_kust",258
1,1993,1993-05-01,121,"Friese_kust",222
1,1993,1993-05-05,125,"Friese_kust",215
2,1993,1993-05-05,125,"Friese_kust",258
2,1993,1993-05-05,125,"Friese_kust",255
2,1993,1993-05-05,125,"Friese_kust",296
1,1993,1993-05-08,128,"Friese_kust",240
2,1993,1993-05-08,128,"Friese_kust",285
1,1993,1993-05-09,129,"Friese_kust",217
1,1993,1993-05-09,129,"Friese_kust",200
1,1993,1993-05-09,129,"Friese_kust",187
1,1993,1993-05-09,129,"Friese_kust",224
1,1993,1993-05-09,129,"Friese_kust",202
2,1993,1993-05-09,129,"Friese_kust",245
2,1993,1993-05-09,129,"Friese_kust",218
2,1993,1993-05-09,129,"Friese_kust",215
2,1993,1993-05-09,129,"Friese_kust",245
1,1993,1993-05-09,129,"Friese_kust",188
1,1993,1993-05-09,129,"Friese_kust",226
1,1993,1993-05-09,129,"Friese_kust",193
1,1993,1993-05-09,129,"Friese_kust",173
1,1993,1993-05-10,130,"Friese_kust",252
1,1993,1993-05-10,130,"Friese_kust",286
1,1993,1993-05-10,130,"Friese_kust",210
1,1993,1993-05-10,130,"Friese_kust",272
1,1993,1993-05-10,130,"Friese_kust",212
1,1993,1993-05-10,130,"Friese_kust",181
1,1993,1993-05-10,130,"Friese_kust",230
1,1993,1993-05-10,130,"Friese_kust",222
1,1993,1993-05-10,130,"Friese_kust",195
1,1993,1993-05-10,130,"Friese_kust",228
1,1993,1993-05-10,130,"Friese_kust",222
1,1993,1993-05-10,130,"Friese_kust",192
2,1993,1993-05-10,130,"Friese_kust",255
2,1993,1993-05-10,130,"Friese_kust",270
2,1993,1993-05-10,130,"Friese_kust",267
2,1993,1993-05-10,130,"Friese_kust",285
2,1993,1993-05-10,130,"Friese_kust",242
2,1993,1993-05-10,130,"Friese_kust",352
2,1993,1993-05-10,130,"Friese_kust",265
2,1993,1993-05-10,130,"Friese_kust",245
2,1993,1993-05-10,130,"Friese_kust",270
1,1993,1993-05-10,130,"Friese_kust",212
1,1993,1993-05-10,130,"Friese_kust",210
1,1993,1993-05-10,130,"Friese_kust",222
1,1993,1993-05-10,130,"Friese_kust",212
1,1993,1993-05-10,130,"Friese_kust",215
1,1993,1993-05-11,131,"Friese_kust",242
1,1993,1993-05-11,131,"Friese_kust",248
1,1993,1993-05-11,131,"Friese_kust",211
1,1993,1993-05-11,131,"Friese_kust",225
1,1993,1993-05-11,131,"Friese_kust",243
1,1993,1993-05-11,131,"Friese_kust",218
1,1993,1993-05-11,131,"Friese_kust",202
1,1993,1993-05-11,131,"Friese_kust",214
1,1993,1993-05-11,131,"Friese_kust",280
1,1993,1993-05-11,131,"Friese_kust",204
1,1993,1993-05-11,131,"Friese_kust",285
1,1993,1993-05-11,131,"Friese_kust",262
1,1993,1993-05-11,131,"Friese_kust",222
2,1993,1993-05-11,131,"Friese_kust",230
