code,ch,SEX
L1BBBB,000000000010000,m
L1BBBL,000000000010010,m
L1BBBR,000000000010001,m
L1BBBY,000000000010000,f
L1BBLB,000000000011000,m
L1BBLL,000000000010000,f
L1BBLR,000000000010000,f
L1BBLY,000000000010000,f
L1BBRB,000000000010000,m
L1BBRL,000000000010100,f
L1BBRR,000000000010000,f
L1BBRY,000000000010110,f
L1BBYB,000000000011010,f
L1BBYL,000000000010011,m
L1BBYR,000000000010001,m
L1BBYY,000000000010001,m
L1BLBB,000000000010000,m
L1BLBL,000000000011000,f
L1BLBR,000000000011001,f
L1BLBY,000000000011111,f
L1BLLB,000000000010000,f
L1BLLL,000000000010000,m
L1BLLR,000000000010100,f
L1BLLY,000000000010000,f
L1BLRB,000000000011111,m
L1BLRL,000000000011000,f
L1BLRR,000000000011000,m
L1BLRY,000000000011110,f
L1BLYB,000000000010000,f
L1BLYL,000000000010000,f
L1BLYR,000000000010000,m
L1BLYY,000000000011000,m
L1BRBB,000000000010111,m
L1BRBL,000000000010001,f
L1BRBR,000000000010111,f
L1BRBY,000000000010011,f
L1BRLB,000000000011111,m
L1BRLL,000000000010000,m
L1BRLR,000000000010000,f
L1BRLY,000000000010110,f
L1BRRB,000000000011100,m
L1BRRL,000000000010000,f
L1BRRR,000000000010000,f
L1BRRY,000000000011000,m
L1BRYB,000000000011000,m
L1BRYL,000000000010011,f
L1BRYY,000000000011000,f
L1BYBB,000000000011100,f
L1BYBL,000000000010000,f
L1BYBR,000000000010100,f
L1BYBY,000000000011110,f
L1BYLB,000000000010000,f
L1BYLL,000000000010000,f
L1BYLR,000000000010100,f
L1BYLY,000000000010000,f
L1BYRB,000000000010000,f
L1BYRL,000000000010000,f
L1BYRR,000000000011100,f
L1BYRY,000000000010100,f
L1BYYB,000000000010000,m
L1BYYL,000000000010000,m
L1BYYR,000000000010011,m
L1RLBB,000000000010000,f
L1RLBL,000000000010000,f
L1RLBR,000000000010001,m
L1RLBY,000000000010000,f
L1RLLL,000000000011000,m
L1RLLR,000000000010000,m
L1RLLY,000000000010000,f
L1RLRB,000000000010000,m
L1RLRL,000000000010010,f
L1RLRR,000000000010000,f
L1RLRY,000000000010000,m
L2BBBB,000000000000100,f
L2BBBL,000000000000101,m
