"Yr","lugworms_ad"
1970,19.5
1971,18.54
1972,17.53
1973,13.92
1974,10.39
1975,13.34
1976,10.59
1977,14.44
1978,12.24
1979,15.32
1980,18.57
1981,17.49
1982,19.7
1983,20.77
1984,21.16
1985,21.46
1986,26.31
1987,23.24
1988,28.6
1989,24.76
1990,25.35
1991,13.44
1992,15.89
1993,21.82
1994,30.59
1995,29.76
1996,14.8
1997,15.94
1998,17.24
1999,13.8
2000,11.33
2001,9.85
2002,10.67
2003,16.72
2004,14.92
2005,12.67
2006,13.03
2007,21.45
2008,16.79
2009,7.84
2010,10.72
2011,19.44
2012,16.75
2013,10.58
2014,13.96
