"Yr","Date","yday","Region"
1994,1994-07-06,187,"South"
1995,1995-06-28,179,"South"
1996,1996-07-07,189,"South"
1998,1998-06-30,181,"South"
1999,1999-06-29,180,"South"
2000,2000-07-06,188,"South"
2001,2001-06-25,176,"South"
2002,2002-06-22,173,"South"
2003,2003-06-26,177,"South"
2004,2004-06-30,182,"North"
2005,2005-07-07,188,"North"
2006,2006-07-08,189,"North"
2007,2007-06-30,181,"North"
2008,2008-07-07,189,"South"
2009,2009-06-27,178,"South"
2010,2010-06-23,174,"South"
2011,2011-06-29,180,"South"
2012,2012-06-21,173,"South"
2013,2013-07-02,183,"South"
2014,2014-06-19,170,"South"
