"Yr","Male_arrival_weight","Female_arrival_weight","Male_arrival_weight_sigma","Female_arrival_weight_sigma"
1989,191.509118402742,215.917149756844,13.49905954263,17.098310390475
1990,199.66907214338,225.391574342017,13.49905954263,17.098310390475
1991,202.999925620649,247.237886301283,13.49905954263,17.098310390475
1992,191.092629279031,235.233125987309,13.49905954263,17.098310390475
1993,193.808671962635,245.337731363434,13.49905954263,17.098310390475
1994,199.252061403318,247.296098869898,13.49905954263,17.098310390475
1995,193.473472621059,232.562301254708,13.49905954263,17.098310390475
1996,195.681706030569,237.781083986597,13.49905954263,17.098310390475
1997,194.321302216794,241.849428329003,13.49905954263,17.098310390475
1998,199.574468547332,241.605734244254,13.49905954263,17.098310390475
1999,193.672476941816,241.158315894084,13.49905954263,17.098310390475
2000,194.941377596747,234.166706118048,13.49905954263,17.098310390475
2001,194.929943245125,240.028670379926,13.49905954263,17.098310390475
2002,196.675811408452,240.874986232485,13.49905954263,17.098310390475
2003,178.409947596907,226.971642437422,13.49905954263,17.098310390475
2004,193.49420178043,231.148156775413,13.49905954263,17.098310390475
2005,191.475487341947,233.608675083436,13.49905954263,17.098310390475
2006,190.81929464133,231.911392005126,13.49905954263,17.098310390475
2007,193.554275795321,237.279636312601,13.49905954263,17.098310390475
2008,193.315268151955,221.980314320977,13.49905954263,17.098310390475
2009,190.161023100315,230.178780096083,13.49905954263,17.098310390475
2010,203.87477405725,249.506371922312,13.49905954263,17.098310390475
2011,195.049829943382,236.313255858028,13.49905954263,17.098310390475
2012,187.095249076489,230.914901897924,13.49905954263,17.098310390475
2013,192.843372549041,235.578768442348,13.49905954263,17.098310390475
2014,192.518962610602,234.267912662215,13.49905954263,17.098310390475
2015,182.250210806076,234.233851902542,13.49905954263,17.098310390475
2016,193.77858785771,233.542610113912,13.49905954263,17.098310390475
