"Yr","jdate50","jdate50_south"
1982,167.166666666667,173
1983,169.083333333333,172
1984,165.75,160.5
1985,164.333333333333,165.5
1986,168.583333333333,175
1987,183.333333333333,181
1988,152.583333333333,145
1989,172.75,171
1990,153.083333333333,149
1991,166.083333333333,169
1992,178.5,171.5
1993,163.083333333333,166
1994,172,172
1995,174.5,164
1996,179.333333333333,184
1997,161.583333333333,150.5
1998,170.5,170.5
1999,161.333333333333,159
2000,165,165
2001,157.166666666667,156
2002,166.083333333333,162
2003,163.333333333333,168
2004,168.75,174
2005,162.666666666667,161.5
2006,166.333333333333,171
2007,161.25,166.5
2008,169,165.5
2009,160,160
2010,156.666666666667,152
2011,152.166666666667,151
2012,154.666666666667,153.5
2013,152.083333333333,148
2014,161.583333333333,154
2015,150.666666666667,153
2016,156.666666666667,155.5
2017,167.5,164
